Hespellia	Bacteroides
Dorea	Ruminococcus2
Anaerofilum	Anaerosporobacter
Lactonifactor	Anaerosporobacter
Peptoniphilus	Anaerosporobacter
Howardella	Anaerosporobacter
Dorea	Blautia
Howardella	Sporobacter
Actinomyces	Hespellia
Slackia	Hespellia
Anaerofilum	Allisonella
Defluviitalea	Allisonella
Howardella	Allisonella
Rothia	Allisonella
Cloacibacillus	Odoribacter
Lachnobacterium	Anaerofilum
Corynebacterium	Anaerofilum
Oribacterium	Anaerofilum
Howardella	Anaerofilum
Rothia	Anaerofilum
Salmonella	Veillonella
Corynebacterium	Lachnobacterium
Oribacterium	Lachnobacterium
Gordonibacter	Lachnobacterium
Rothia	Lachnobacterium
Lactonifactor	Anaerofustis
Corynebacterium	Anaerofustis
Oribacterium	Anaerofustis
Holdemania	Anaerofustis
Actinomyces	Anaerofustis
Gordonibacter	Anaerofustis
Slackia	Anaerofustis
Corynebacterium	Anaerovorax
Holdemania	Anaerovorax
Rothia	Anaerovorax
Oribacterium	Insolitispirillum
Cloacibacillus	Cerasicoccus
Victivallis	Cerasicoccus
Oribacterium	Cerasicoccus
Pseudoflavonifractor	Acetanaerobacterium
Holdemania	Acetanaerobacterium
Pseudoflavonifractor	Sutterella
Peptoniphilus	Sutterella
Peptoniphilus	Butyricimonas
Solobacterium	Butyricicoccus
Robinsoniella	Acetivibrio
Oribacterium	Acetivibrio
Oribacterium	Defluviitalea
Rothia	Defluviitalea
Corynebacterium	Lactonifactor
Oribacterium	Lactonifactor
Campylobacter	Lactonifactor
Corynebacterium	Robinsoniella
Oribacterium	Robinsoniella
Coprobacillus	Robinsoniella
Enterorhabdus	Olsenella
Rothia	Olsenella
Corynebacterium	Enterococcus
Lactococcus	Enterococcus
Rothia	Clostridium_III
Peptoniphilus	Pseudoflavonifractor
Enterorhabdus	Cloacibacillus
Oribacterium	Corynebacterium
Lactococcus	Corynebacterium
Mannheimia	Corynebacterium
Rothia	Corynebacterium
Solobacterium	Corynebacterium
Gemella	Corynebacterium
Lactococcus	Oribacterium
Holdemania	Oribacterium
Howardella	Oribacterium
Rothia	Oribacterium
Acinetobacter	Oribacterium
Rothia	Enterorhabdus
Holdemania	Lactococcus
Peptoniphilus	Porphyromonas
Solobacterium	Peptoniphilus
Atopobium	Actinomyces
Rothia	Actinomyces
Slackia	Actinomyces
Gemella	Actinomyces
Atopobium	Mogibacterium
Campylobacter	Atopobium
Gemella	Atopobium
Acinetobacter	Rothia
Solobacterium	Desulfomicrobium
Acinetobacter	Desulfomicrobium
Gemella	Solobacterium
Salmonella	Coprobacillus
