S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
Acetanaerobacterium,3,2,2,5,0,2,0,1.543,0.125,4
Acetivibrio,3,2,2,4,1,1,0.25,1.071,0,3
Acinetobacter,2,3,2,5,0,3,0,1.814,0.088,1
Actinomyces,4,5,2,6,3,2,0.5,0.976,0.132,5
Allisonella,1,4,3,5,0,4,0,2.086,0.013,2
Anaerofilum,4,6,4,10,0,6,0,2.029,-0.006,2
Anaerofustis,24,7,3,25,6,1,0.24,0.871,-0.735,5
Anaerovorax,2,3,3,5,0,3,0,1.814,0.036,4
Atopobium,12,4,2,14,2,2,0.143,1.143,-0.02,5
Butyricicoccus,2,1,1,3,0,1,0,1.405,-0.073,1
Campylobacter,1,2,2,3,0,2,0,1.81,0.017,5
Cerasicoccus,1,2,2,3,0,2,0,1.81,0.092,3
Cloacibacillus,2,2,2,4,0,2,0,1.643,0.007,3
Clostridium_III,1,1,1,2,0,1,0,1.571,0,2
Coprobacillus,1,1,1,2,0,1,0,1.571,0,3
Corynebacterium,2,12,4,12,2,10,0.167,2.381,1,4
Defluviitalea,3,3,3,6,0,3,0,1.714,0.003,2
Desulfomicrobium,3,2,2,5,0,2,0,1.543,0.02,1
Enterorhabdus,1,3,2,4,0,3,0,1.964,0.074,2
Gemella,2,4,2,5,1,3,0.2,1.614,0.197,5
Gordonibacter,2,2,2,3,1,1,0.333,1.071,0.003,2
Holdemania,2,5,3,6,1,4,0.167,1.786,0.262,4
Howardella,1,3,3,4,0,3,0,1.964,0.01,2
Lachnobacterium,3,5,4,8,0,5,0,1.982,0.003,2
Lactococcus,1,3,3,4,0,3,0,1.964,0.009,4
Lactonifactor,8,4,3,10,2,2,0.2,1.143,0.023,5
Mannheimia,1,1,1,2,0,1,0,1.571,0,4
Mogibacterium,1,1,1,2,0,1,0,1.571,0,5
Olsenella,4,2,2,6,0,2,0,1.476,-0.073,2
Oribacterium,3,14,4,16,1,13,0.062,2.679,0.872,3
Peptoniphilus,4,4,2,6,2,2,0.333,1.143,0.227,1
Porphyromonas,1,1,1,1,1,0,1,0,0,1
Pseudoflavonifractor,2,3,2,5,0,3,0,1.814,0.061,1
Robinsoniella,7,4,2,10,1,3,0.1,1.414,0.038,3
Rothia,1,12,4,13,0,12,0,2.78,0.771,2
Slackia,4,2,2,5,1,1,0.2,1.071,-0.075,5
Solobacterium,4,5,2,8,1,4,0.125,1.661,0.654,1
Sutterella,1,2,2,3,0,2,0,1.81,0,1
