Clostridium_sensu_stricto	Clostridium_XI
Gemella	Anaerosporobacter
Dorea	Blautia
Insolitispirillum	Hespellia
Hydrogenoanaerobacterium	Allisonella
Corynebacterium	Allisonella
Rothia	Allisonella
Defluviitalea	Odoribacter
Enterococcus	Methanobrevibacter
Anaerofustis	Anaerofilum
Pseudoflavonifractor	Anaerofilum
Hydrogenoanaerobacterium	Anaerofilum
Desulfomicrobium	Desulfovibrio
Actinomyces	Lachnobacterium
Lactonifactor	Anaerofustis
Clostridium_III	Anaerofustis
Hydrogenoanaerobacterium	Anaerofustis
Corynebacterium	Anaerofustis
Holdemania	Anaerofustis
Actinomyces	Anaerofustis
Gordonibacter	Anaerofustis
Atopobium	Anaerofustis
Rothia	Anaerofustis
Slackia	Anaerofustis
Solobacterium	Anaerofustis
Sutterella	Anaerovorax
Olsenella	Anaerovorax
Corynebacterium	Anaerovorax
Actinomyces	Anaerovorax
Mogibacterium	Anaerovorax
Cloacibacillus	Cerasicoccus
Hydrogenoanaerobacterium	Cerasicoccus
Corynebacterium	Cerasicoccus
Defluviitalea	Peptococcus
Corynebacterium	Peptococcus
Enterorhabdus	Peptococcus
Pseudomonas	Citrobacter
Pseudoflavonifractor	Acetanaerobacterium
Holdemania	Acetanaerobacterium
Campylobacter	Sutterella
Pseudoflavonifractor	Butyricimonas
Desulfomicrobium	Butyricimonas
Hydrogenoanaerobacterium	Butyricicoccus
Hydrogenoanaerobacterium	Acetivibrio
Hydrogenoanaerobacterium	Defluviitalea
Corynebacterium	Defluviitalea
Clostridium_III	Lactonifactor
Lactococcus	Lactonifactor
Gordonibacter	Lactonifactor
Hydrogenoanaerobacterium	Robinsoniella
Corynebacterium	Robinsoniella
Hydrogenoanaerobacterium	Olsenella
Atopobium	Olsenella
Rothia	Olsenella
Slackia	Olsenella
Solobacterium	Olsenella
Hydrogenoanaerobacterium	Clostridium_III
Atopobium	Clostridium_III
Solobacterium	Cloacibacillus
Desulfomicrobium	Victivallis
Corynebacterium	Hydrogenoanaerobacterium
Holdemania	Hydrogenoanaerobacterium
Peptoniphilus	Hydrogenoanaerobacterium
Atopobium	Hydrogenoanaerobacterium
Campylobacter	Hydrogenoanaerobacterium
Rothia	Hydrogenoanaerobacterium
Desulfomicrobium	Hydrogenoanaerobacterium
Solobacterium	Hydrogenoanaerobacterium
Acinetobacter	Hydrogenoanaerobacterium
Gemella	Hydrogenoanaerobacterium
Enterorhabdus	Corynebacterium
Lactococcus	Corynebacterium
Holdemania	Corynebacterium
Mannheimia	Corynebacterium
Atopobium	Corynebacterium
Howardella	Corynebacterium
Campylobacter	Corynebacterium
Rothia	Corynebacterium
Desulfomicrobium	Corynebacterium
Slackia	Corynebacterium
Solobacterium	Corynebacterium
Gemella	Corynebacterium
Campylobacter	Oribacterium
Solobacterium	Oribacterium
Actinomyces	Enterorhabdus
Rothia	Holdemania
Peptoniphilus	Porphyromonas
Mannheimia	Porphyromonas
Atopobium	Peptoniphilus
Campylobacter	Peptoniphilus
Solobacterium	Peptoniphilus
Coprobacillus	Peptoniphilus
Mogibacterium	Actinomyces
Gordonibacter	Actinomyces
Rothia	Actinomyces
Campylobacter	Mannheimia
Rothia	Mannheimia
Campylobacter	Atopobium
Rothia	Atopobium
Solobacterium	Atopobium
Gemella	Atopobium
Solobacterium	Howardella
Solobacterium	Slackia
Gemella	Solobacterium
