S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
Actinomyces_oris,3,5,2,8,0,5,0,2.25,0.194,2
Alistipes_finegoldii,3,1,1,3,1,0,0.333,0.667,-0.001,7
Bacteroides_cellulosilyticus,3,2,1,5,0,2,0,1.65,0.167,4
Bacteroides_fragilis,4,1,1,4,1,0,0.25,0.75,-0.068,4
Bacteroides_helcogenes,6,3,2,7,2,1,0.286,0.982,-0.025,7
Bacteroides_ovatus,3,1,1,4,0,1,0,1.375,-0.002,4
Bacteroides_salanitronis,4,6,2,7,3,3,0.429,1.375,0.695,7
Bacteroides_thetaiotaomicron,2,2,1,3,1,1,0.333,1.125,0.433,4
Bacteroides_vulgatus,2,3,1,5,0,3,0,1.975,0.291,4
Barnesiella_viscericola,5,3,2,5,3,0,0.6,0.4,-0.244,7
Bifidobacterium_animalis,1,1,1,2,0,1,0,1.625,0,6
Bifidobacterium_breve,2,1,1,3,0,1,0,1.458,0,2
Bifidobacterium_catenulatum,1,1,1,1,1,0,1,0,0,10
Bifidobacterium_dentium,1,3,2,4,0,3,0,2.125,0.07,3
Bifidobacterium_kashiwanohense,2,1,1,2,1,0,0.5,0.5,-0.001,10
Bifidobacterium_pseudocatenulatum,1,1,1,2,0,1,0,1.625,0,5
Butyrivibrio_proteoclasticus,4,3,2,4,3,0,0.75,0.25,0.011,5
Campylobacter_jejuni,1,2,2,3,0,2,0,1.917,0.042,3
Cellulosilyticum_lentocellum,4,4,2,6,2,2,0.333,1.25,0.364,2
Clostridium_baratii,3,5,2,6,2,3,0.333,1.542,0.368,6
Clostridium_botulinum,1,2,2,2,1,1,0.5,1.125,0.045,6
Clostridium_butyricum,2,4,2,5,1,3,0.2,1.775,0.493,6
Clostridium_perfringens,2,2,2,4,0,2,0,1.75,0,6
Clostridium_sp_SY8519,3,1,1,3,1,0,0.333,0.667,-0.091,5
Clostridium_tetani,6,8,2,10,4,4,0.4,1.5,0.457,2
Coriobacteriaceae_bacterium_68.1.3,2,2,2,4,0,2,0,1.75,-0.087,2
Coriobacterium_glomerans,1,1,1,1,1,0,1,0,0,2
Eggerthella_sp_YY7918,4,5,2,9,0,5,0,2.181,0.132,3
Enterococcus_faecalis,2,1,1,3,0,1,0,1.458,0,8
Escherichia_coli,1,1,1,2,0,1,0,1.625,0,8
Ethanoligenens_harbinense,3,1,1,3,1,0,0.333,0.667,-0.051,3
Eubacterium_limosum,3,2,2,5,0,2,0,1.65,-0.048,5
Intestinimonas_butyriciproducens,3,1,1,3,1,0,0.333,0.667,-0.036,9
Klebsiella_pneumoniae,1,2,1,3,0,2,0,1.917,0.001,8
Lachnoclostridium_phytofermentans,4,4,2,5,3,1,0.6,0.725,0.378,5
Lactobacillus_rhamnosus,3,1,1,4,0,1,0,1.375,-0.124,1
Lactobacillus_ruminis,3,5,2,7,1,4,0.143,1.929,0.58,3
Lactococcus_lactis,2,3,1,5,0,3,0,1.975,0.267,1
Mageeibacillus_indolicus,2,3,2,4,1,2,0.25,1.5,0.558,3
Odoribacter_splanchnicus,5,2,1,6,1,1,0.167,1.125,0.392,4
Olsenella_sp_oral_taxon_807,3,6,2,8,1,5,0.125,2.125,0.076,2
Olsenella_uli,3,4,2,4,3,1,0.75,0.625,0.053,2
Ornithobacterium_rhinotracheale,5,4,2,7,2,2,0.286,1.25,0.282,7
Oscillibacter_valericigenes,2,1,1,2,1,0,0.5,0.5,-0.003,9
Parabacteroides_distasonis,1,2,1,2,1,1,0.5,1.125,0.093,4
Parvimonas_micra,7,1,1,8,0,1,0,1.25,-1,6
Peptoclostridium_difficile,5,3,2,7,1,2,0.143,1.393,0.005,5
Prevotella_dentalis,3,1,1,4,0,1,0,1.375,-0.035,7
Roseburia_hominis,3,2,2,5,0,2,0,1.65,-0.074,5
Rothia_mucilaginosa,3,4,2,5,2,2,0.4,1.25,0.243,1
Ruminococcus_albus,5,3,2,6,2,1,0.333,0.958,-0.062,3
Salmonella_enterica,2,2,2,4,0,2,0,1.75,0.061,2
Slackia_heliotrinireducens,3,4,2,6,1,3,0.167,1.708,-0.018,3
Streptococcus_agalactiae,3,4,2,6,1,3,0.167,1.708,0.073,3
Streptococcus_anginosus,4,3,2,7,0,3,0,1.804,0.009,6
Streptococcus_gordonii,3,3,2,4,2,1,0.5,0.875,-0.023,1
Streptococcus_mitis,5,6,2,8,3,3,0.375,1.375,-0.028,1
Streptococcus_mutans,3,2,2,5,0,2,0,1.65,-0.024,3
Streptococcus_parasanguinis,3,1,1,3,1,0,0.333,0.667,-0.037,1
Streptococcus_pasteurianus,4,3,2,6,1,2,0.167,1.417,-0.067,2
Streptococcus_pyogenes,2,3,2,5,0,3,0,1.975,0.027,3
Streptococcus_salivarius,2,2,1,3,1,1,0.333,1.125,0.088,1
Streptococcus_sanguinis,4,3,2,4,3,0,0.75,0.25,-0.115,1
Streptococcus_sp_A12,2,4,2,5,1,3,0.2,1.775,0.282,1
Streptococcus_suis,3,2,2,5,0,2,0,1.65,-0.053,6
Tannerella_forsythia,4,1,1,4,1,0,0.25,0.75,-0.138,7
X.Clostridium._cellulosi,4,3,2,5,2,1,0.4,0.925,-0.087,3
X.Clostridium._saccharolyticum,2,2,2,3,1,1,0.333,1.125,0.003,5
