S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
s__Akkermansia_muciniphila,1,1,1,2,0,1,0,1.625,0,1
s__Alistipes_indistinctus,2,1,1,3,0,1,0,1.458,-0.071,7
s__Alistipes_putredinis,3,2,1,5,0,2,0,1.65,-0.048,3
s__Alistipes_shahii,1,2,1,3,0,2,0,1.917,0.182,3
s__Anaerotruncus_colihominis,4,5,2,7,2,3,0.286,1.518,0.115,7
s__Anaerotruncus_unclassified,2,8,2,8,2,6,0.25,2.25,1,1
s__Bacteroides_clarus,1,4,2,5,0,4,0,2.3,0.118,1
s__Bacteroides_fragilis,3,2,1,3,2,0,0.667,0.333,-0.102,10
s__Bacteroides_intestinalis,2,1,1,3,0,1,0,1.458,-0.001,7
s__Bacteroides_nordii,2,3,2,5,0,3,0,1.975,-0.041,1
s__Bacteroides_plebeius,1,1,1,2,0,1,0,1.625,0,12
s__Bacteroides_thetaiotaomicron,2,1,1,2,1,0,0.5,0.5,-0.014,10
s__Bifidobacterium_adolescentis,2,1,1,3,0,1,0,1.458,-0.049,5
s__Bifidobacterium_longum,3,1,1,4,0,1,0,1.375,-0.126,15
s__Bifidobacterium_pseudocatenulatum,3,1,1,4,0,1,0,1.375,-0.272,15
s__Bilophila_wadsworthia,3,4,2,5,2,2,0.4,1.25,0.031,1
s__Burkholderiales_bacterium_1_1_47,1,1,1,1,1,0,1,0,0,13
s__Clostridium_asparagiforme,4,3,2,6,1,2,0.167,1.417,-0.097,1
s__Clostridium_bartlettii,4,4,2,8,0,4,0,2,0.489,8
s__Clostridium_bolteae,3,2,2,5,0,2,0,1.65,-0.123,4
s__Clostridium_hathewayi,6,1,1,6,1,0,0.167,0.833,-0.505,4
s__Clostridium_nexile,4,2,2,6,0,2,0,1.583,-0.328,4
s__Clostridium_symbiosum,2,4,2,5,1,3,0.2,1.775,0.017,4
s__Collinsella_aerofaciens,3,2,1,5,0,2,0,1.65,0.208,3
s__Coprobacillus_unclassified,5,1,1,6,0,1,0,1.292,-0.3,2
s__Coprococcus_catus,4,4,2,8,0,4,0,2,0.071,6
s__Coprococcus_comes,4,1,1,5,0,1,0,1.325,-0.452,5
s__Desulfovibrio_piger,3,2,1,5,0,2,0,1.65,0.351,3
s__Dorea_formicigenerans,6,1,1,7,0,1,0,1.268,-0.199,6
s__Dorea_longicatena,3,3,2,6,0,3,0,1.875,0.415,8
s__Dorea_unclassified,2,6,2,8,0,6,0,2.5,0.972,8
s__Eggerthella_unclassified,5,2,1,7,0,2,0,1.536,-0.696,2
s__Escherichia_unclassified,1,2,1,3,0,2,0,1.917,0.093,1
s__Eubacterium_biforme,5,3,1,8,0,3,0,1.75,0.171,5
s__Eubacterium_eligens,1,2,2,3,0,2,0,1.917,0,8
s__Eubacterium_hallii,2,2,2,4,0,2,0,1.75,0.081,6
s__Eubacterium_ventriosum,1,2,1,3,0,2,0,1.917,0.002,9
s__Flavonifractor_plautii,4,5,2,8,1,4,0.125,1.875,0.29,1
s__Fusobacterium_varium,3,1,1,4,0,1,0,1.375,-0.175,1
s__Haemophilus_parainfluenzae,3,2,2,5,0,2,0,1.65,-0.139,8
s__Klebsiella_pneumoniae,3,1,1,4,0,1,0,1.375,-0.071,12
s__Lachnospiraceae_bacterium_2_1_58FAA,1,2,1,3,0,2,0,1.917,0.008,4
s__Lachnospiraceae_bacterium_5_1_63FAA,3,5,2,8,0,5,0,2.25,-0.042,6
s__Lachnospiraceae_bacterium_8_1_57FAA,3,4,1,7,0,4,0,2.071,0.367,2
s__Megamonas_funiformis,1,2,1,3,0,2,0,1.917,0.266,5
s__Megamonas_hypermegale,2,1,1,2,1,0,0.5,0.5,-0.139,11
s__Megamonas_rupellensis,1,1,1,1,1,0,1,0,0,11
s__Megamonas_unclassified,2,2,1,2,2,0,1,0,-0.069,11
s__Megasphaera_unclassified,1,1,1,2,0,1,0,1.625,0,2
s__Odoribacter_splanchnicus,1,1,1,2,0,1,0,1.625,0,3
s__Oscillibacter_unclassified,2,5,2,7,0,5,0,2.339,0.021,7
s__Parabacteroides_goldsteinii,1,1,1,2,0,1,0,1.625,0,6
s__Parabacteroides_johnsonii,1,1,1,2,0,1,0,1.625,0,1
s__Parabacteroides_unclassified,4,1,1,4,1,0,0.25,0.75,-0.235,10
s__Paraprevotella_clara,2,1,1,2,1,0,0.5,0.5,-0.002,14
s__Paraprevotella_unclassified,2,1,1,2,1,0,0.5,0.5,-0.002,14
s__Paraprevotella_xylaniphila,1,1,1,2,0,1,0,1.625,0,1
s__Parasutterella_excrementihominis,1,1,1,1,1,0,1,0,0,13
s__Peptostreptococcaceae_noname_unclassified,3,2,2,5,0,2,0,1.65,-0.1,6
s__Prevotella_stercorea,1,2,1,3,0,2,0,1.917,0.347,5
s__Roseburia_unclassified,1,1,1,2,0,1,0,1.625,0,2
s__Ruminococcus_bromii,1,1,1,2,0,1,0,1.625,0,9
s__Ruminococcus_gnavus,5,1,1,6,0,1,0,1.292,-0.388,4
s__Ruminococcus_lactaris,2,1,1,3,0,1,0,1.458,0,6
s__Ruminococcus_obeum,9,2,2,11,0,2,0,1.432,-1,7
s__Ruminococcus_sp_5_1_39BFAA,4,1,1,5,0,1,0,1.325,-0.974,9
s__Ruminococcus_torques,2,3,2,5,0,3,0,1.975,0.093,6
s__Streptococcus_salivarius,1,2,1,3,0,2,0,1.917,0.182,2
s__Subdoligranulum_unclassified,1,2,1,3,0,2,0,1.917,0.266,3
s__Veillonella_unclassified,2,4,2,6,0,4,0,2.167,0.36,8
