Bifidobacterium_angulatum	Bifidobacterium_adolescentis
Bifidobacterium_catenulatum	Bifidobacterium_angulatum
Slackia_heliotrinireducens	Bifidobacterium_angulatum
Bacteroides_thetaiotaomicron	Bifidobacterium_angulatum
Megasphaera_elsdenii	Bifidobacterium_bifidum
Bifidobacterium_catenulatum	Bifidobacterium_breve
Bifidobacterium_longum	Bifidobacterium_breve
Coriobacterium_glomerans	Bifidobacterium_breve
Streptococcus_salivarius	Bifidobacterium_breve
Peptoclostridium_difficile	Bifidobacterium_breve
Bifidobacterium_kashiwanohense	Bifidobacterium_catenulatum
Slackia_heliotrinireducens	Bifidobacterium_dentium
Prevotella_sp_oral_taxon_299	Bifidobacterium_dentium
Selenomonas_ruminantium	Bifidobacterium_dentium
Klebsiella_oxytoca	Bifidobacterium_dentium
Bifidobacterium_pseudocatenulatum	Bifidobacterium_kashiwanohense
Eggerthella_lenta	Bifidobacterium_longum
Streptococcus_suis	Bifidobacterium_longum
Coriobacterium_glomerans	Olsenella_uli
Slackia_heliotrinireducens	Olsenella_uli
Enterococcus_faecium	Coriobacterium_glomerans
Oscillibacter_valericigenes	Adlercreutzia_equolifaciens
Ruminococcus_albus	Adlercreutzia_equolifaciens
Streptococcus_suis	Eggerthella_lenta
Bacteroides_ovatus	Slackia_heliotrinireducens
Enterococcus_faecalis	Slackia_heliotrinireducens
Streptococcus_agalactiae	Slackia_heliotrinireducens
Clostridium_botulinum	Slackia_heliotrinireducens
Ruminococcus_albus	Slackia_heliotrinireducens
Selenomonas_ruminantium	Slackia_heliotrinireducens
Lachnoclostridium_phytofermentans	Bacteroides_cellulosilyticus
Barnesiella_viscericola	Bacteroides_helcogenes
Streptococcus_pyogenes	Bacteroides_ovatus
Barnesiella_viscericola	Bacteroides_salanitronis
Ornithobacterium_rhinotracheale	Bacteroides_salanitronis
Tannerella_forsythia	Bacteroides_thetaiotaomicron
Lachnoclostridium_phytofermentans	Bacteroides_thetaiotaomicron
Campylobacter_jejuni	Bacteroides_thetaiotaomicron
Ruminococcus_albus	Bacteroides_vulgatus
Tannerella_forsythia	Barnesiella_viscericola
Tannerella_forsythia	Parabacteroides_distasonis
Ornithobacterium_rhinotracheale	Tannerella_forsythia
Prevotella_fusca	Prevotella_dentalis
Prevotella_ruminicola	Prevotella_dentalis
Prevotella_ruminicola	Prevotella_denticola
Prevotella_sp_oral_taxon_299	Prevotella_denticola
Prevotella_fusca	Prevotella_enoeca
Prevotella_sp_oral_taxon_299	Prevotella_enoeca
Prevotella_melaninogenica	Prevotella_fusca
Prevotella_ruminicola	Prevotella_fusca
Chryseobacterium_gallinarum	Prevotella_sp_oral_taxon_299
Intestinimonas_butyriciproducens	Alistipes_finegoldii
Streptococcus_anginosus	Enterococcus_faecalis
Streptococcus_pyogenes	Enterococcus_faecalis
Clostridium_botulinum	Enterococcus_faecalis
Eubacterium_limosum	Enterococcus_faecalis
Ethanoligenens_harbinense	Enterococcus_faecalis
Eubacterium_limosum	Enterococcus_faecium
Escherichia_coli	Enterococcus_faecium
Streptococcus_pyogenes	Streptococcus_agalactiae
Streptococcus_sp_I.G2	Streptococcus_agalactiae
Clostridium_botulinum	Streptococcus_agalactiae
Streptococcus_gordonii	Streptococcus_anginosus
Streptococcus_thermophilus	Streptococcus_anginosus
Ruminococcus_albus	Streptococcus_anginosus
Streptococcus_mitis	Streptococcus_gordonii
Streptococcus_thermophilus	Streptococcus_gordonii
Streptococcus_sp_A12	Streptococcus_mitis
Streptococcus_thermophilus	Streptococcus_mitis
Streptococcus_salivarius	Streptococcus_parasanguinis
Streptococcus_thermophilus	Streptococcus_parasanguinis
Klebsiella_pneumoniae	Streptococcus_parasanguinis
X.Clostridium._saccharolyticum	Streptococcus_pasteurianus
Peptoclostridium_difficile	Streptococcus_pasteurianus
Enterobacter_cloacae	Streptococcus_pyogenes
Streptococcus_thermophilus	Streptococcus_salivarius
Streptococcus_sp_I.P16	Streptococcus_sp_A12
Streptococcus_sp_I.P16	Streptococcus_sp_I.G2
Clostridium_botulinum	Streptococcus_sp_I.G2
Klebsiella_quasipneumoniae	Streptococcus_sp_I.G2
Butyrivibrio_proteoclasticus	Streptococcus_suis
Peptoclostridium_difficile	Streptococcus_suis
Campylobacter_jejuni	Streptococcus_suis
Klebsiella_pneumoniae	Streptococcus_thermophilus
Lachnoclostridium_phytofermentans	Clostridium_botulinum
Acidaminococcus_fermentans	Clostridium_botulinum
Selenomonas_ruminantium	Clostridium_botulinum
Campylobacter_jejuni	Clostridium_botulinum
Butyrivibrio_proteoclasticus	Clostridium_sp_SY8519
X.Clostridium._saccharolyticum	Clostridium_sp_SY8519
Lachnoclostridium_phytofermentans	Clostridium_sp_SY8519
Peptoclostridium_difficile	Clostridium_sp_SY8519
Ethanoligenens_harbinense	Clostridium_sp_SY8519
Peptoclostridium_difficile	Eubacterium_limosum
X.Clostridium._saccharolyticum	Butyrivibrio_proteoclasticus
