S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
Streptococcus_mitis,6,3,2,8,1,2,0.125,1.347,-0.953,2
Selenomonas_ruminantium,5,3,2,7,1,2,0.143,1.365,-0.642,6
Streptococcus_gordonii,4,3,2,6,1,2,0.167,1.389,-0.46,2
Lachnoclostridium_phytofermentans,7,7,3,10,4,3,0.4,1.233,-0.441,4
Roseburia_hominis,4,1,1,5,0,1,0,1.311,-0.428,3
Ethanoligenens_harbinense,6,6,3,9,3,3,0.333,1.333,-0.416,3
Bifidobacterium_angulatum,6,4,2,8,2,2,0.25,1.222,-0.404,1
Olsenella_uli,4,2,2,4,2,0,0.5,0.5,-0.333,1
Bifidobacterium_longum,4,3,2,6,1,2,0.167,1.389,-0.319,4
Enterobacter_cloacae,3,2,2,4,1,1,0.25,1.111,-0.259,6
Clostridium_sp_SY8519,6,5,3,8,3,2,0.375,1.097,-0.251,4
Streptococcus_agalactiae,5,4,2,7,2,2,0.286,1.222,-0.225,6
Streptococcus_sp_A12,3,2,2,4,1,1,0.25,1.111,-0.176,2
Fusobacterium_nucleatum,2,1,1,2,1,0,0.5,0.5,-0.174,9
Citrobacter_freundii,2,1,1,3,0,1,0,1.444,-0.166,6
X.Eubacterium._rectale,2,1,1,3,0,1,0,1.444,-0.166,4
Oscillibacter_valericigenes,3,3,2,4,2,1,0.5,0.861,-0.14,3
Clostridium_botulinum,6,8,3,12,2,6,0.167,2,-0.134,6
Bifidobacterium_kashiwanohense,3,2,1,3,2,0,0.667,0.333,-0.116,1
Streptococcus_sp_I.P16,3,2,2,3,2,0,0.667,0.333,-0.105,2
Bifidobacterium_pseudocatenulatum,3,1,1,3,1,0,0.333,0.667,-0.096,1
Veillonella_parvula,2,1,1,2,1,0,0.5,0.5,-0.091,8
Bacteroides_ovatus,2,2,2,4,0,2,0,1.722,-0.09,6
Bifidobacterium_catenulatum,3,3,2,4,2,1,0.5,0.861,-0.086,1
X.Clostridium._saccharolyticum,3,4,2,6,1,3,0.167,1.667,-0.08,4
Acidaminococcus_fermentans,3,2,2,4,1,1,0.25,1.111,-0.078,3
Enterococcus_faecium,4,2,2,6,0,2,0,1.556,-0.076,1
Streptococcus_parasanguinis,2,2,2,3,1,1,0.333,1.111,-0.055,2
Enterobacter_asburiae,2,1,1,2,1,0,0.5,0.5,-0.05,8
Parvimonas_micra,2,1,1,2,1,0,0.5,0.5,-0.045,9
Streptococcus_thermophilus,3,5,2,7,1,4,0.143,1.873,-0.038,2
Bifidobacterium_adolescentis,2,1,1,3,0,1,0,1.444,-0.032,1
Bacteroides_helcogenes,3,1,1,4,0,1,0,1.361,-0.024,5
Streptococcus_anginosus,4,4,2,7,1,3,0.143,1.619,-0.017,2
Bacteroides_salanitronis,2,2,2,3,1,1,0.333,1.111,-0.011,5
Alistipes_finegoldii,1,1,1,2,0,1,0,1.611,0,3
Bacteroides_cellulosilyticus,2,1,1,3,0,1,0,1.444,0,4
Bacteroides_vulgatus,1,1,1,2,0,1,0,1.611,0,3
Desulfovibrio_fairfieldensis,1,1,1,2,0,1,0,1.611,0,3
Eggerthella_lenta,2,2,2,4,0,2,0,1.722,0,4
Parabacteroides_distasonis,2,1,1,3,0,1,0,1.444,0,5
Prevotella_dentalis,1,2,2,3,0,2,0,1.889,0,7
Prevotella_melaninogenica,1,1,1,2,0,1,0,1.611,0,7
Streptococcus_pasteurianus,4,2,2,5,1,1,0.2,1.111,0.002,4
Bacteroides_thetaiotaomicron,5,4,2,9,0,4,0,1.889,0.008,4
Peptoclostridium_difficile,5,6,3,8,3,3,0.375,1.333,0.023,4
Streptococcus_pyogenes,4,4,2,6,2,2,0.333,1.222,0.026,6
Eubacterium_limosum,4,3,2,5,2,1,0.4,0.911,0.029,4
Enterococcus_faecalis,7,6,3,10,3,3,0.3,1.333,0.032,6
Prevotella_ruminicola,3,3,2,4,2,1,0.5,0.861,0.032,7
Ornithobacterium_rhinotracheale,1,2,2,2,1,1,0.5,1.111,0.044,5
Streptococcus_sp_I.G2,3,4,2,6,1,3,0.167,1.667,0.051,6
Coriobacterium_glomerans,2,3,2,4,1,2,0.25,1.472,0.054,1
Adlercreutzia_equolifaciens,1,2,2,3,0,2,0,1.889,0.055,3
Slackia_heliotrinireducens,7,9,3,12,4,5,0.333,1.639,0.062,6
Streptococcus_salivarius,2,3,2,3,2,1,0.667,0.778,0.071,2
Klebsiella_quasipneumoniae,1,3,2,3,1,2,0.333,1.556,0.101,6
Prevotella_denticola,5,2,2,5,2,0,0.4,0.6,0.102,7
Streptococcus_suis,3,5,3,7,1,4,0.143,1.873,0.121,4
Butyrivibrio_proteoclasticus,4,5,3,5,4,1,0.8,0.511,0.129,4
Intestinimonas_butyriciproducens,2,3,1,4,1,2,0.25,1.472,0.13,3
Prevotella_fusca,3,4,2,5,2,2,0.4,1.222,0.133,7
Barnesiella_viscericola,1,3,2,3,1,2,0.333,1.556,0.135,5
Campylobacter_jejuni,3,4,3,7,0,4,0,2.016,0.14,4
Ruminococcus_albus,6,6,3,9,3,3,0.333,1.333,0.143,3
Bifidobacterium_dentium,3,3,2,6,0,3,0,1.833,0.182,6
Prevotella_enoeca,3,2,2,3,2,0,0.667,0.333,0.211,7
Bifidobacterium_breve,1,5,2,5,1,4,0.2,2.044,0.262,1
Tannerella_forsythia,2,4,2,5,1,3,0.2,1.733,0.42,5
Prevotella_sp_oral_taxon_299,2,3,2,3,2,1,0.667,0.778,0.503,7
