S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
Fusobacterium_nucleatum,5,2,1,6,1,1,0.167,1.111,-0.996,6
Streptococcus_sp_A12,2,2,2,4,0,2,0,1.722,-0.654,3
Clostridium_sp_SY8519,6,4,3,7,3,1,0.429,0.825,-0.613,5
Streptococcus_suis,5,2,2,6,1,1,0.167,1.111,-0.599,4
Hafnia_alvei,2,2,2,4,0,2,0,1.722,-0.562,4
X.Eubacterium._eligens,2,2,2,4,0,2,0,1.722,-0.523,5
Ruminococcus_albus,5,3,2,7,1,2,0.143,1.365,-0.521,3
Prevotella_sp_oral_taxon_299,4,3,2,5,2,1,0.4,0.911,-0.464,2
Enterococcus_faecalis,3,4,3,7,0,4,0,2.016,-0.36,4
Haemophilus_parainfluenzae,2,2,1,4,0,2,0,1.722,-0.3,1
Bifidobacterium_catenulatum,3,2,2,4,1,1,0.25,1.111,-0.285,3
Parvimonas_micra,3,1,1,3,1,0,0.333,0.667,-0.285,6
Escherichia_coli,2,2,2,4,0,2,0,1.722,-0.192,1
Streptococcus_anginosus,5,3,2,8,0,3,0,1.708,-0.169,1
Enterococcus_faecium,2,1,1,2,1,0,0.5,0.5,-0.16,1
Roseburia_hominis,3,4,3,5,2,2,0.4,1.222,-0.149,5
Olsenella_uli,4,3,2,6,1,2,0.167,1.389,-0.146,3
Intestinimonas_butyriciproducens,3,1,1,3,1,0,0.333,0.667,-0.141,3
Oscillibacter_valericigenes,4,3,2,5,2,1,0.4,0.911,-0.138,3
Bifidobacterium_kashiwanohense,2,2,2,2,2,0,1,0,-0.12,3
Prevotella_intermedia,5,1,1,6,0,1,0,1.278,-0.112,6
Barnesiella_viscericola,3,1,1,3,1,0,0.333,0.667,-0.075,8
Eubacterium_limosum,2,1,1,3,0,1,0,1.444,-0.075,7
Prevotella_enoeca,3,3,2,4,2,1,0.5,0.861,-0.067,2
Adlercreutzia_equolifaciens,2,3,2,4,1,2,0.25,1.472,-0.053,4
Prevotella_fusca,4,5,2,6,3,2,0.5,1.056,-0.047,2
Megasphaera_elsdenii,3,2,1,4,1,1,0.25,1.111,-0.044,2
Clostridium_perfringens,2,3,2,4,1,2,0.25,1.472,-0.026,1
Campylobacter_jejuni,2,3,3,4,1,2,0.25,1.472,-0.014,4
Acidaminococcus_intestini,2,1,1,2,1,0,0.5,0.5,0,2
Bacteroides_salanitronis,1,1,1,1,1,0,1,0,0,8
Bacteroides_vulgatus,1,1,1,2,0,1,0,1.611,0,5
Bifidobacterium_longum,1,2,2,2,1,1,0.5,1.111,0,4
Chryseobacterium_gallinarum,1,1,1,2,0,1,0,1.611,0,2
Eggerthella_lenta,1,1,1,2,0,1,0,1.611,0,7
Peptoclostridium_difficile,1,1,1,2,0,1,0,1.611,0,4
Streptococcus_salivarius,1,1,1,1,1,0,1,0,0,1
Streptococcus_thermophilus,1,1,1,2,0,1,0,1.611,0,5
X.Clostridium._saccharolyticum,2,3,3,3,2,1,0.667,0.778,0,5
Prevotella_denticola,2,3,2,4,1,2,0.25,1.472,0.006,2
Prevotella_ruminicola,2,3,2,4,1,2,0.25,1.472,0.013,2
Bifidobacterium_animalis,1,4,3,5,0,4,0,2.244,0.018,4
Streptococcus_mitis,3,7,2,10,0,7,0,2.478,0.034,1
Prevotella_dentalis,1,4,2,5,0,4,0,2.244,0.043,2
Bifidobacterium_pseudocatenulatum,2,5,3,5,2,3,0.4,1.533,0.047,4
Prevotella_melaninogenica,2,3,2,4,1,2,0.25,1.472,0.055,2
Lactococcus_lactis,1,4,2,5,0,4,0,2.244,0.102,1
Acidaminococcus_fermentans,1,3,2,4,0,3,0,2.083,0.123,3
Streptococcus_parasanguinis,1,2,1,2,1,1,0.5,1.111,0.142,1
Butyrivibrio_proteoclasticus,3,6,3,7,2,4,0.286,1.73,0.159,5
Ethanoligenens_harbinense,4,5,2,6,3,2,0.5,1.056,0.177,3
Bifidobacterium_angulatum,1,6,2,7,0,6,0,2.524,0.496,3
Bifidobacterium_breve,2,9,3,9,2,7,0.222,2.333,0.661,4
Streptococcus_pyogenes,1,5,3,6,0,5,0,2.389,0.736,4
Lachnoclostridium_phytofermentans,2,6,3,6,2,4,0.333,1.778,0.98,4
